Region_name,LA_name,Gender,Ethnicity,Pupil Count,Pupils in Progress 8,Total achieve A*-C in English and Maths,Total Ebacc Entry,Total achieve Ebacc,Attainment 8 Total,Progress 8 Total,Attainment 8,Progress 8,Ebacc,GCSE A*-C,GCSE Average
North East,South Tyneside,,White,1421,1408,890,483,285,69666,-238.88,49.026038,-0.168106967,0.200562984,0.626319493,4.9026038
North East,South Tyneside,,Mixed,17,17,9,6,4,788,-5.487,46.35294118,-0.322764706,0.235294118,0.529411765,4.635294118
North East,South Tyneside,,Asian,57,54,38,28,19,2956,13.227,51.85964912,0.232052632,0.333333333,0.666666667,5.185964912
North East,South Tyneside,,Black,8,6,x,x,x,304,-1.088,38,-0.136,x,x,3.8
North East,South Tyneside,,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,South Tyneside,,,1535,1517,957,532,316,75244,-240.501,49.01889251,-0.156678176,0.205863192,0.623452769,4.901889251
North East,South Tyneside,Female,White,730,725,491,300,187,37498.5,-33.213,51.36780822,-0.04549726,0.256164384,0.67260274,5.136780822
North East,South Tyneside,Female,Mixed,6,6,x,x,x,243,-2.333,40.5,-0.388833333,x,x,4.05
North East,South Tyneside,Female,Asian,31,29,26,18,12,1805,18.884,58.22580645,0.60916129,0.387096774,0.838709677,5.822580645
North East,South Tyneside,Female,Black,5,x,x,x,x,250,x,50,x,x,x,5
North East,South Tyneside,Female,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,South Tyneside,Female,,787,780,532,330,206,40556,-17.488,51.53240152,-0.022221093,0.261753494,0.675984752,5.153240152
North East,South Tyneside,Male,White,691,683,399,183,98,32167.5,-205.667,46.55209841,-0.297636758,0.141823444,0.577424023,4.655209841
North East,South Tyneside,Male,Mixed,11,11,x,x,x,545,-3.154,49.54545455,-0.286727273,x,x,4.954545455
North East,South Tyneside,Male,Asian,26,25,12,10,7,1151,-5.657,44.26923077,-0.217576923,0.269230769,0.461538462,4.426923077
North East,South Tyneside,Male,Black,3,x,x,x,x,54,x,18,x,x,x,1.8
North East,South Tyneside,Male,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,South Tyneside,Male,,748,737,425,202,110,34688,-223.013,46.37433155,-0.298145722,0.147058824,0.568181818,4.637433155
North East,Sunderland,,White,2677,2629,1567,964,554,128324.75,-530.433,47.93602914,-0.198144565,0.206948076,0.585356743,4.793602914
North East,Sunderland,,Mixed,27,25,15,15,7,1307,2.216,48.40740741,0.082074074,0.259259259,0.555555556,4.840740741
North East,Sunderland,,Asian,90,88,65,51,32,4990,42.294,55.44444444,0.469933333,0.355555556,0.722222222,5.544444444
North East,Sunderland,,Black,16,14,8,10,6,811.5,3.112,50.71875,0.1945,0.375,0.5,5.071875
North East,Sunderland,,Chinese,3,3,3,3,3,195,2.928,65,0.976,1,1,6.5
North East,Sunderland,,,2828,2772,1666,1044,602,136279.25,-483.223,48.18926803,-0.170870934,0.212871287,0.589108911,4.818926803
North East,Sunderland,Female,White,1272,1249,807,595,357,63503.25,-145.066,49.92393868,-0.114045597,0.280660377,0.634433962,4.992393868
North East,Sunderland,Female,Mixed,15,14,9,12,x,808,8.338,53.86666667,0.555866667,x,0.6,5.386666667
North East,Sunderland,Female,Asian,56,55,40,40,26,3096.5,29.512,55.29464286,0.527,0.464285714,0.714285714,5.529464286
North East,Sunderland,Female,Black,11,9,x,x,x,613,4.978,55.72727273,0.452545455,x,x,5.572727273
North East,Sunderland,Female,Chinese,3,3,3,3,3,195,2.928,65,0.976,1,1,6.5
North East,Sunderland,Female,,1365,1337,870,660,397,68578.75,-102.641,50.24084249,-0.075194872,0.290842491,0.637362637,5.024084249
North East,Sunderland,Male,White,1405,1380,760,369,197,64821.5,-385.367,46.13629893,-0.274282562,0.140213523,0.540925267,4.613629893
North East,Sunderland,Male,Mixed,12,11,6,3,x,499,-6.122,41.58333333,-0.510166667,x,0.5,4.158333333
North East,Sunderland,Male,Asian,34,33,25,11,6,1893.5,12.782,55.69117647,0.375941176,0.176470588,0.735294118,5.569117647
North East,Sunderland,Male,Black,5,5,x,x,x,198.5,-1.866,39.7,-0.3732,x,x,3.97
North East,Sunderland,Male,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Sunderland,Male,,1463,1435,796,384,205,67700.5,-380.582,46.27511962,-0.260138072,0.140123035,0.544087491,4.627511962
North East,Hartlepool,,White,1036,1023,567,369,146,48744,-352.763,47.05019305,-0.340504826,0.140926641,0.547297297,4.705019305
North East,Hartlepool,,Mixed,8,7,5,4,x,417,-0.824,52.125,-0.103,x,0.625,5.2125
North East,Hartlepool,,Asian,14,14,10,9,3,749,4.215,53.5,0.301071429,0.214285714,0.714285714,5.35
North East,Hartlepool,,Black,5,x,x,x,x,275,x,55,x,x,x,5.5
North East,Hartlepool,,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,,,1068,1050,587,386,152,50414.5,-346.573,47.20458801,-0.324506554,0.142322097,0.549625468,4.720458801
North East,Hartlepool,Female,White,531,527,322,219,105,26292.5,-99.008,49.51506591,-0.186455744,0.197740113,0.606403013,4.951506591
North East,Hartlepool,Female,Mixed,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,Female,Asian,7,7,x,x,x,405,4.249,57.85714286,0.607,x,x,5.785714286
North East,Hartlepool,Female,Black,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,Female,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Hartlepool,Female,,545,537,333,226,107,27041.5,-95.673,49.61743119,-0.175546789,0.196330275,0.611009174,4.961743119
North East,Hartlepool,Male,White,505,496,245,150,41,22451.5,-253.755,44.45841584,-0.502485149,0.081188119,0.485148515,4.445841584
North East,Hartlepool,Male,Mixed,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,Male,Asian,7,7,x,x,x,344,-0.034,49.14285714,-0.004857143,x,x,4.914285714
North East,Hartlepool,Male,Black,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Hartlepool,Male,,523,513,254,160,45,23373,-250.9,44.69024857,-0.479732314,0.086042065,0.485659656,4.469024857
North East,Middlesbrough,,White,1164,1141,622,236,112,53096.5,-254.576,45.61554983,-0.218707904,0.096219931,0.534364261,4.561554983
North East,Middlesbrough,,Mixed,53,48,35,13,9,2685.5,11.677,50.66981132,0.220320755,0.169811321,0.660377358,5.066981132
North East,Middlesbrough,,Asian,172,163,123,37,30,8996,130.316,52.30232558,0.757651163,0.174418605,0.715116279,5.230232558
North East,Middlesbrough,,Black,15,13,10,4,x,774,11.987,51.6,0.799133333,x,0.666666667,5.16
North East,Middlesbrough,,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Middlesbrough,,,1464,1408,804,295,157,67083,-169.121,45.82172131,-0.115519809,0.107240437,0.549180328,4.582172131
North East,Middlesbrough,Female,White,600,586,341,151,75,28350.75,-84.582,47.25125,-0.14097,0.125,0.568333333,4.725125
North East,Middlesbrough,Female,Mixed,31,28,21,9,x,1631.5,11.651,52.62903226,0.37583871,x,0.677419355,5.262903226
North East,Middlesbrough,Female,Asian,95,88,66,25,20,5094.5,72.101,53.62631579,0.758957895,0.210526316,0.694736842,5.362631579
North East,Middlesbrough,Female,Black,6,6,x,x,x,327,7.158,54.5,1.193,x,x,5.45
North East,Middlesbrough,Female,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Middlesbrough,Female,,753,720,439,191,106,36039.25,-0.061,47.86088977,-8.10E-05,0.140770252,0.583001328,4.786088977
North East,Middlesbrough,Male,White,564,555,281,85,37,24745.75,-169.994,43.87544326,-0.301407801,0.065602837,0.49822695,4.387544326
North East,Middlesbrough,Male,Mixed,22,20,14,4,x,1054,0.026,47.90909091,0.001181818,x,0.636363636,4.790909091
North East,Middlesbrough,Male,Asian,77,75,57,12,10,3901.5,58.215,50.66883117,0.756038961,0.12987013,0.74025974,5.066883117
North East,Middlesbrough,Male,Black,9,7,x,x,x,447,4.829,49.66666667,0.536555556,x,x,4.966666667
North East,Middlesbrough,Male,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Middlesbrough,Male,,711,688,365,104,51,31043.75,-169.06,43.66209564,-0.237777778,0.071729958,0.513361463,4.366209564
North East,Redcar and Cleveland,,White,1567,1561,952,452,298,74484,-479.764,47.53286535,-0.306167198,0.190172304,0.607530313,4.753286535
North East,Redcar and Cleveland,,Mixed,20,20,13,9,8,1055,-0.04,52.75,-0.002,0.4,0.65,5.275
North East,Redcar and Cleveland,,Asian,21,19,12,9,6,1031,1.578,49.0952381,0.075142857,0.285714286,0.571428571,4.90952381
North East,Redcar and Cleveland,,Black,3,x,3,x,x,163,x,54.33333333,x,x,1,5.433333333
North East,Redcar and Cleveland,,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Redcar and Cleveland,,,1620,1610,985,473,315,77143,-475.787,47.6191358,-0.293695679,0.194444444,0.608024691,4.76191358
North East,Redcar and Cleveland,Female,White,764,763,481,269,180,37785,-147.706,49.45680628,-0.193332461,0.235602094,0.629581152,4.945680628
North East,Redcar and Cleveland,Female,Mixed,11,11,8,x,x,607,2.255,55.18181818,0.205,x,0.727272727,5.518181818
North East,Redcar and Cleveland,Female,Asian,10,9,7,x,x,561,2.525,56.1,0.2525,x,0.7,5.61
North East,Redcar and Cleveland,Female,Black,x,0,x,x,x,x,0,x,x,x,x,x
North East,Redcar and Cleveland,Female,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North East,Redcar and Cleveland,Female,,792,788,500,286,193,39260,-143.555,49.57070707,-0.181256313,0.243686869,0.631313131,4.957070707
North East,Redcar and Cleveland,Male,White,803,798,471,183,118,36699,-332.058,45.70236613,-0.413521793,0.146948941,0.586550436,4.570236613
North East,Redcar and Cleveland,Male,Mixed,9,9,5,x,x,448,-2.295,49.77777778,-0.255,x,0.555555556,4.977777778
North East,Redcar and Cleveland,Male,Asian,11,10,5,x,x,470,-0.947,42.72727273,-0.086090909,x,0.454545455,4.272727273
North East,Redcar and Cleveland,Male,Black,x,x,x,x,x,x,x,x,x,x,x,x
North East,Redcar and Cleveland,Male,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North East,Redcar and Cleveland,Male,,828,822,485,187,122,37883,-332.232,45.75241546,-0.401246377,0.147342995,0.585748792,4.575241546
North East,Stockton-on-Tees,,White,1842,1815,1175,734,474,91512,-362.388,49.68078176,-0.196736156,0.25732899,0.637893594,4.968078176
North East,Stockton-on-Tees,,Mixed,25,22,16,11,8,1279,-5.909,51.16,-0.23636,0.32,0.64,5.116
North East,Stockton-on-Tees,,Asian,106,96,67,45,31,5542.5,32.349,52.28773585,0.305179245,0.29245283,0.632075472,5.228773585
