Region_name,LA_name,Gender,Ethnicity,Pupil Count,Pupils in Progress 8,Total achieve A*-C in English and Maths,Total Ebacc Entry,Total achieve Ebacc,Attainment 8 Total,Progress 8 Total,Attainment 8,Progress 8,Ebacc,GCSE A*-C,GCSE Average
North West,Rochdale,Male,Asian,279,272,159,71,36,12846.5,5.78,46.04480287,0.020716846,0.129032258,0.569892473,4.604480287
North West,Rochdale,Male,Black,34,26,21,11,7,1669.5,10.954,49.10294118,0.322176471,0.205882353,0.617647059,4.910294118
North West,Rochdale,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Rochdale,Male,,1184,1153,649,243,140,54439.5,-250.284,45.97930743,-0.211388514,0.118243243,0.548141892,4.597930743
North West,Salford,,White,1832,1763,955,824,350,84440.5,-647.959,46.09197598,-0.35368941,0.191048035,0.52128821,4.609197598
North West,Salford,,Mixed,80,67,48,37,20,3972,-5.603,49.65,-0.0700375,0.25,0.6,4.965
North West,Salford,,Asian,38,31,26,21,14,2099,23.196,55.23684211,0.610421053,0.368421053,0.684210526,5.523684211
North West,Salford,,Black,78,48,49,37,18,4015.5,22.688,51.48076923,0.290871795,0.230769231,0.628205128,5.148076923
North West,Salford,,Chinese,6,6,x,x,3,348,0.465,58,0.0775,0.5,x,5.8
North West,Salford,,,2084,1953,1113,951,421,97433,-581.474,46.75287908,-0.279018234,0.202015355,0.534069098,4.675287908
North West,Salford,Female,White,953,923,523,483,217,45900.5,-247.521,48.16421826,-0.259728227,0.227701994,0.548793284,4.816421826
North West,Salford,Female,Mixed,35,29,23,17,10,1777.5,-1.019,50.78571429,-0.029114286,0.285714286,0.657142857,5.078571429
North West,Salford,Female,Asian,17,15,14,12,8,987,11.92,58.05882353,0.701176471,0.470588235,0.823529412,5.805882353
North West,Salford,Female,Black,41,22,28,19,9,2213.5,12.352,53.98780488,0.301268293,0.219512195,0.682926829,5.398780488
North West,Salford,Female,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Salford,Female,,1069,1007,607,547,254,52230.5,-209.77,48.85921422,-0.196230122,0.237605239,0.567820393,4.885921422
North West,Salford,Male,White,879,840,432,341,133,38540,-400.438,43.84527873,-0.455560865,0.151308305,0.491467577,4.384527873
North West,Salford,Male,Mixed,45,38,25,20,10,2194.5,-4.584,48.76666667,-0.101866667,0.222222222,0.555555556,4.876666667
North West,Salford,Male,Asian,21,16,12,9,6,1112,11.276,52.95238095,0.536952381,0.285714286,0.571428571,5.295238095
North West,Salford,Male,Black,37,26,21,18,9,1802,10.336,48.7027027,0.279351351,0.243243243,0.567567568,4.87027027
North West,Salford,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Salford,Male,,1015,946,506,404,167,45202.5,-371.704,44.53448276,-0.366210837,0.16453202,0.498522167,4.453448276
North West,Stockport,,White,2463,2426,1627,1124,745,126867.25,-25.467,51.5092367,-0.010339829,0.302476654,0.660576533,5.15092367
North West,Stockport,,Mixed,105,100,77,50,31,5567,16.292,53.01904762,0.155161905,0.295238095,0.733333333,5.301904762
North West,Stockport,,Asian,168,151,114,95,57,8934,47.843,53.17857143,0.284779762,0.339285714,0.678571429,5.317857143
North West,Stockport,,Black,21,18,14,8,7,1058.5,6.493,50.4047619,0.309190476,0.333333333,0.666666667,5.04047619
North West,Stockport,,Chinese,16,10,9,8,5,829.5,7.88,51.84375,0.4925,0.3125,0.5625,5.184375
North West,Stockport,,,2816,2741,1862,1298,853,145243.25,42.219,51.57785866,0.014992543,0.302911932,0.661221591,5.157785866
North West,Stockport,Female,White,1235,1220,853,610,426,65852.75,139.453,53.32206478,0.112917409,0.344939271,0.690688259,5.332206478
North West,Stockport,Female,Mixed,46,43,36,26,15,2676,19.503,58.17391304,0.423978261,0.326086957,0.782608696,5.817391304
North West,Stockport,Female,Asian,80,74,62,54,38,4556,39.788,56.95,0.49735,0.475,0.775,5.695
North West,Stockport,Female,Black,7,6,x,4,3,392,4.175,56,0.596428571,0.428571429,x,5.6
North West,Stockport,Female,Chinese,10,6,6,x,x,573,5.748,57.3,0.5748,x,0.6,5.73
North West,Stockport,Female,,1399,1369,971,708,490,74967.75,195.487,53.58666905,0.139733381,0.350250179,0.694067191,5.358666905
North West,Stockport,Male,White,1228,1206,774,514,319,61014.5,-164.92,49.68607492,-0.134299674,0.259771987,0.63029316,4.968607492
North West,Stockport,Male,Mixed,59,57,41,24,16,2891,-3.211,49,-0.054423729,0.271186441,0.694915254,4.9
North West,Stockport,Male,Asian,88,77,52,41,19,4378,8.055,49.75,0.091534091,0.215909091,0.590909091,4.975
North West,Stockport,Male,Black,14,12,x,4,4,666.5,2.318,47.60714286,0.165571429,0.285714286,x,4.760714286
North West,Stockport,Male,Chinese,6,4,3,x,x,256.5,2.132,42.75,0.355333333,x,0.5,4.275
North West,Stockport,Male,,1417,1372,891,590,363,70275.5,-153.268,49.59456598,-0.108163726,0.256175018,0.628793225,4.959456598
North West,Tameside,,White,2078,2054,1307,637,380,101192,-450.036,48.69682387,-0.216571704,0.182868142,0.628970164,4.869682387
North West,Tameside,,Mixed,74,68,50,21,12,3823.5,-4.939,51.66891892,-0.066743243,0.162162162,0.675675676,5.166891892
North West,Tameside,,Asian,253,233,169,88,62,13218.5,97.496,52.24703557,0.385359684,0.245059289,0.66798419,5.224703557
North West,Tameside,,Black,35,24,23,10,6,1673,15.403,47.8,0.440085714,0.171428571,0.657142857,4.78
North West,Tameside,,Chinese,12,9,8,5,4,689,5.545,57.41666667,0.462083333,0.333333333,0.666666667,5.741666667
North West,Tameside,,,2493,2420,1583,773,473,122623,-325.007,49.18692339,-0.13036783,0.189731247,0.634977938,4.918692339
North West,Tameside,Female,White,1036,1028,686,377,244,52048.5,-159.435,50.23986486,-0.153894788,0.235521236,0.662162162,5.023986486
North West,Tameside,Female,Mixed,33,30,27,7,6,1850,11.44,56.06060606,0.346666667,0.181818182,0.818181818,5.606060606
North West,Tameside,Female,Asian,125,116,90,56,40,6939,82.665,55.512,0.66132,0.32,0.72,5.5512
North West,Tameside,Female,Black,18,13,11,6,x,817,8.345,45.38888889,0.463611111,x,0.611111111,4.538888889
North West,Tameside,Female,Chinese,7,5,x,x,x,425,2.445,60.71428571,0.349285714,x,x,6.071428571
North West,Tameside,Female,,1228,1198,823,453,300,62505,-50.379,50.89983713,-0.041025244,0.244299674,0.67019544,5.089983713
North West,Tameside,Male,White,1042,1026,621,260,136,49143.5,-290.601,47.16266795,-0.278887716,0.130518234,0.59596929,4.716266795
North West,Tameside,Male,Mixed,41,38,23,14,6,1973.5,-16.379,48.13414634,-0.399487805,0.146341463,0.56097561,4.813414634
North West,Tameside,Male,Asian,128,117,79,32,22,6279.5,14.831,49.05859375,0.115867188,0.171875,0.6171875,4.905859375
North West,Tameside,Male,Black,17,11,12,4,x,856,7.058,50.35294118,0.415176471,x,0.705882353,5.035294118
North West,Tameside,Male,Chinese,5,4,x,x,x,264,3.1,52.8,0.62,x,x,5.28
North West,Tameside,Male,,1265,1222,760,320,173,60118,-274.628,47.52411067,-0.217097233,0.136758893,0.600790514,4.752411067
North West,Trafford,,White,2118,1989,1577,983,761,118805.25,18.49,56.09313031,0.008729934,0.359301228,0.744570349,5.609313031
North West,Trafford,,Mixed,132,124,96,66,48,7503,5.901,56.84090909,0.044704545,0.363636364,0.727272727,5.684090909
North West,Trafford,,Asian,327,301,264,149,128,19390.5,68.021,59.29816514,0.208015291,0.391437309,0.80733945,5.929816514
North West,Trafford,,Black,75,67,52,27,18,4031.5,5.142,53.75333333,0.06856,0.24,0.693333333,5.375333333
North West,Trafford,,Chinese,49,43,44,35,29,3307.25,21.882,67.49489796,0.446571429,0.591836735,0.897959184,6.749489796
North West,Trafford,,,2758,2576,2079,1287,1008,156444,133.246,56.72371284,0.048312545,0.365482234,0.753807107,5.672371284
North West,Trafford,Female,White,1066,1005,822,532,437,61717.75,134.789,57.89657598,0.126443715,0.409943715,0.771106942,5.789657598
North West,Trafford,Female,Mixed,66,62,53,37,29,3885.5,6.023,58.87121212,0.091257576,0.439393939,0.803030303,5.887121212
North West,Trafford,Female,Asian,142,135,121,80,68,8901,51.118,62.68309859,0.359985915,0.478873239,0.852112676,6.268309859
North West,Trafford,Female,Black,39,34,29,17,12,2179,7.468,55.87179487,0.191487179,0.307692308,0.743589744,5.587179487
North West,Trafford,Female,Chinese,22,21,22,x,x,1627.5,14.011,73.97727273,0.636863636,x,1,7.397727273
North West,Trafford,Female,,1363,1282,1071,700,578,79972.75,219.443,58.67406456,0.161,0.424064563,0.785766691,5.867406456
North West,Trafford,Male,White,1052,984,755,451,324,57087.5,-116.299,54.26568441,-0.11055038,0.307984791,0.717680608,5.426568441
North West,Trafford,Male,Mixed,66,62,43,29,19,3617.5,-0.122,54.81060606,-0.001848485,0.287878788,0.651515152,5.481060606
North West,Trafford,Male,Asian,185,166,143,69,60,10489.5,16.903,56.7,0.091367568,0.324324324,0.772972973,5.67
North West,Trafford,Male,Black,36,33,23,10,6,1852.5,-2.326,51.45833333,-0.064611111,0.166666667,0.638888889,5.145833333
North West,Trafford,Male,Chinese,27,22,22,x,x,1679.75,7.871,62.21296296,0.291518519,x,0.814814815,6.221296296
North West,Trafford,Male,,1395,1294,1008,587,430,76471.25,-86.197,54.81810036,-0.061789964,0.308243728,0.722580645,5.481810036
North West,Wigan,,White,3271,3226,2046,1088,721,165281,-331.056,50.52919596,-0.101209416,0.220421889,0.62549679,5.052919596
North West,Wigan,,Mixed,66,64,36,24,17,3378.5,5.426,51.18939394,0.082212121,0.257575758,0.545454545,5.118939394
North West,Wigan,,Asian,30,26,19,9,6,1602,15.341,53.4,0.511366667,0.2,0.633333333,5.34
North West,Wigan,,Black,16,14,11,11,9,845,2.03,52.8125,0.126875,0.5625,0.6875,5.28125
North West,Wigan,,Chinese,3,3,3,x,x,195,1.85,65,0.616666667,x,1,6.5
North West,Wigan,,,3407,3348,2130,1145,762,172416,-308.36,50.60639859,-0.090507778,0.223657176,0.625183446,5.060639859
North West,Wigan,Female,White,1611,1588,1098,638,446,85757,90.04,53.23215394,0.055890751,0.276846679,0.681564246,5.323215394
North West,Wigan,Female,Mixed,39,38,28,17,13,2124.5,11.186,54.47435897,0.286820513,0.333333333,0.717948718,5.447435897
North West,Wigan,Female,Asian,10,8,5,4,3,488,8.533,48.8,0.8533,0.3,0.5,4.88
North West,Wigan,Female,Black,9,9,x,x,x,530.5,2.558,58.94444444,0.284222222,x,x,5.894444444
North West,Wigan,Female,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Wigan,Female,,1679,1649,1149,674,474,89507.5,112.342,53.31000596,0.066910066,0.282310899,0.684335914,5.331000596
North West,Wigan,Male,White,1660,1638,948,450,275,79524,-421.096,47.9060241,-0.253672289,0.165662651,0.571084337,4.79060241
North West,Wigan,Male,Mixed,27,26,8,7,4,1254,-5.76,46.44444444,-0.213333333,0.148148148,0.296296296,4.644444444
North West,Wigan,Male,Asian,20,18,14,5,3,1114,6.808,55.7,0.3404,0.15,0.7,5.57
North West,Wigan,Male,Black,7,5,x,x,x,314.5,-0.528,44.92857143,-0.075428571,x,x,4.492857143
North West,Wigan,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Wigan,Male,,1728,1699,981,471,288,82908.5,-420.702,47.97945602,-0.243461806,0.166666667,0.567708333,4.797945602
North West,Halton,,White,1335,1320,795,764,425,65458.5,-256.82,49.03258427,-0.192374532,0.31835206,0.595505618,4.903258427
North West,Halton,,Mixed,25,24,19,17,14,1367,-0.219,54.68,-0.00876,0.56,0.76,5.468
North West,Halton,,Asian,x,x,x,x,x,x,x,x,x,x,x,x
North West,Halton,,Black,x,x,x,x,x,x,x,x,x,x,x,x
North West,Halton,,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North West,Halton,,,1373,1356,826,790,446,67632.5,-251.331,49.25892207,-0.18305244,0.324836125,0.601602331,4.925892207
North West,Halton,Female,White,660,654,406,412,237,33554,-49.402,50.83939394,-0.074851515,0.359090909,0.615151515,5.083939394
North West,Halton,Female,Mixed,12,11,x,7,5,617,1.144,51.41666667,0.095333333,0.416666667,x,5.141666667
North West,Halton,Female,Asian,0,0,0,0,0,0,0,x,x,x,x,x
North West,Halton,Female,Black,x,x,x,x,x,x,x,x,x,x,x,x
North West,Halton,Female,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North West,Halton,Female,,678,670,419,423,245,34556,-45.413,50.96755162,-0.066980826,0.361356932,0.6179941,5.096755162
North West,Halton,Male,White,675,666,389,352,188,31904.5,-207.418,47.26592593,-0.307285926,0.278518519,0.576296296,4.726592593
North West,Halton,Male,Mixed,13,13,x,10,9,750,-1.363,57.69230769,-0.104846154,0.692307692,x,5.769230769
North West,Halton,Male,Asian,x,x,x,x,x,x,x,x,x,x,x,x
North West,Halton,Male,Black,x,x,x,x,x,x,x,x,x,x,x,x
North West,Halton,Male,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North West,Halton,Male,,695,686,407,367,201,33076.5,-205.918,47.59208633,-0.296284892,0.289208633,0.585611511,4.759208633
North West,Warrington,,White,2216,2176,1410,823,521,110801.5,-385.959,50.0006769,-0.174169224,0.235108303,0.636281588,5.00006769
North West,Warrington,,Mixed,35,32,18,12,8,1617,-7.931,46.2,-0.2266,0.228571429,0.514285714,4.62
North West,Warrington,,Asian,49,46,39,26,17,2727.5,15.912,55.66326531,0.324734694,0.346938776,0.795918367,5.566326531
North West,Warrington,,Black,14,10,5,6,x,583,1.86,41.64285714,0.132857143,x,0.357142857,4.164285714
North West,Warrington,,Chinese,6,5,x,3,x,382.25,2.621,63.70833333,0.436833333,x,x,6.370833333
North West,Warrington,,,2365,2303,1503,886,559,118292.25,-359.941,50.01786469,-0.152194926,0.236363636,0.63551797,5.001786469
North West,Warrington,Female,White,1072,1055,720,435,289,55963.5,-34.054,52.20475746,-0.031766791,0.269589552,0.671641791,5.220475746
North West,Warrington,Female,Mixed,15,13,10,8,5,733,-0.226,48.86666667,-0.015066667,0.333333333,0.666666667,4.886666667
North West,Warrington,Female,Asian,19,18,16,10,7,1046,8.773,55.05263158,0.461736842,0.368421053,0.842105263,5.505263158
North West,Warrington,Female,Black,10,7,x,x,x,405,1.204,40.5,0.1204,x,x,4.05
North West,Warrington,Female,Chinese,3,x,x,x,x,192.25,x,64.08333333,x,x,x,6.408333333
North West,Warrington,Female,,1141,1112,764,468,309,59422.25,-17.812,52.07909728,-0.015610868,0.270815074,0.669588081,5.207909728
North West,Warrington,Male,White,1144,1121,690,388,232,54838,-351.905,47.93531469,-0.307609266,0.202797203,0.603146853,4.793531469
North West,Warrington,Male,Mixed,20,19,8,4,3,884,-7.705,44.2,-0.38525,0.15,0.4,4.42
North West,Warrington,Male,Asian,30,28,23,16,10,1681.5,7.139,56.05,0.237966667,0.333333333,0.766666667,5.605
North West,Warrington,Male,Black,4,3,x,x,x,178,0.656,44.5,0.164,x,x,4.45
North West,Warrington,Male,Chinese,3,x,3,x,x,190,x,63.33333333,x,x,1,6.333333333
North West,Warrington,Male,,1224,1191,739,418,250,58870,-342.129,48.09640523,-0.279517157,0.204248366,0.60375817,4.809640523
North West,Lancashire,,White,10512,10294,6735,3478,2261,522378,-1445.04,49.69349315,-0.137465753,0.215087519,0.640696347,4.969349315
North West,Lancashire,,Mixed,277,258,183,94,63,14041.5,-36.279,50.69133574,-0.130971119,0.227436823,0.660649819,5.069133574
North West,Lancashire,,Asian,1147,1073,671,410,279,56755,215.949,49.48125545,0.188272886,0.243243243,0.585004359,4.948125545
North West,Lancashire,,Black,38,32,27,12,8,1956.5,3.355,51.48684211,0.088289474,0.210526316,0.710526316,5.148684211
North West,Lancashire,,Chinese,32,25,28,13,12,2023.5,15.412,63.234375,0.481625,0.375,0.875,6.3234375
North West,Lancashire,,,12106,11764,7702,4049,2650,602048.5,-1242.246,49.73141417,-0.102614076,0.218899719,0.636213448,4.973141417
North West,Lancashire,Female,White,5084,4988,3490,1921,1350,265276.5,46.608,52.17869788,0.009167585,0.265538946,0.686467349,5.217869788
North West,Lancashire,Female,Mixed,147,134,105,61,40,7983.5,1.975,54.30952381,0.013435374,0.272108844,0.714285714,5.430952381
North West,Lancashire,Female,Asian,554,519,355,240,176,29378,242.66,53.02888087,0.43801444,0.317689531,0.640794224,5.302888087
North West,Lancashire,Female,Black,17,16,13,4,3,932,8.863,54.82352941,0.521352941,0.176470588,0.764705882,5.482352941
North West,Lancashire,Female,Chinese,16,15,x,9,9,1056,7.073,66,0.4420625,0.5625,x,6.6
North West,Lancashire,Female,,5866,5712,4006,2255,1590,306952.5,309.448,52.32739516,0.052752813,0.271053529,0.682918513,5.232739516
North West,Lancashire,Male,White,5428,5306,3245,1557,911,257101.5,-1491.648,47.3657885,-0.27480619,0.167833456,0.597826087,4.73657885
North West,Lancashire,Male,Mixed,130,124,78,33,23,6058,-38.254,46.6,-0.294261538,0.176923077,0.6,4.66
North West,Lancashire,Male,Asian,593,554,316,170,103,27377,-26.711,46.16694772,-0.045043845,0.173693086,0.532883642,4.616694772
North West,Lancashire,Male,Black,21,16,14,8,5,1024.5,-5.508,48.78571429,-0.262285714,0.238095238,0.666666667,4.878571429
North West,Lancashire,Male,Chinese,16,10,x,4,3,967.5,8.339,60.46875,0.5211875,0.1875,x,6.046875
North West,Lancashire,Male,,6240,6052,3696,1794,1060,295096,-1551.694,47.29102564,-0.24866891,0.169871795,0.592307692,4.729102564
North West,Blackburn with Darwen,,White,922,897,558,235,146,45090,-160.796,48.90455531,-0.174399132,0.15835141,0.605206074,4.890455531
North West,Blackburn with Darwen,,Mixed,61,59,45,20,14,3083.5,6.781,50.54918033,0.111163934,0.229508197,0.737704918,5.054918033
North West,Blackburn with Darwen,,Asian,735,711,519,349,260,38259,331.451,52.05306122,0.450953741,0.353741497,0.706122449,5.205306122
North West,Blackburn with Darwen,,Black,15,12,8,3,x,691,-2.093,46.06666667,-0.139533333,x,0.533333333,4.606666667
North West,Blackburn with Darwen,,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Blackburn with Darwen,,,1754,1696,1145,616,429,88217.5,180.328,50.29503991,0.102809578,0.244583808,0.652793615,5.029503991
North West,Blackburn with Darwen,Female,White,470,456,310,131,90,24090,-10.015,51.25531915,-0.021308511,0.191489362,0.659574468,5.125531915
North West,Blackburn with Darwen,Female,Mixed,31,30,x,13,9,1740,11.628,56.12903226,0.375096774,0.290322581,x,5.612903226
North West,Blackburn with Darwen,Female,Asian,347,338,264,200,156,19221.5,239.747,55.39337176,0.690913545,0.449567723,0.760806916,5.539337176
North West,Blackburn with Darwen,Female,Black,4,3,4,x,x,237,3.393,59.25,0.84825,x,1,5.925
North West,Blackburn with Darwen,Female,Chinese,0,0,0,0,0,0,0,x,x,x,x,x
North West,Blackburn with Darwen,Female,,857,829,612,350,260,45599.5,245.783,53.20828471,0.286794632,0.303383897,0.71411902,5.320828471
North West,Blackburn with Darwen,Male,White,452,441,248,104,56,21000,-150.781,46.46017699,-0.333586283,0.123893805,0.548672566,4.646017699
North West,Blackburn with Darwen,Male,Mixed,30,29,x,7,5,1343.5,-4.847,44.78333333,-0.161566667,0.166666667,x,4.478333333
North West,Blackburn with Darwen,Male,Asian,388,373,255,149,104,19037.5,91.704,49.06572165,0.236350515,0.268041237,0.657216495,4.906572165
North West,Blackburn with Darwen,Male,Black,11,9,4,x,x,454,-5.486,41.27272727,-0.498727273,x,0.363636364,4.127272727
North West,Blackburn with Darwen,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Blackburn with Darwen,Male,,897,867,533,266,169,42618,-65.455,47.51170569,-0.072971014,0.188405797,0.594202899,4.751170569
North West,Blackpool,,White,1270,1233,604,232,115,55409.5,-498.545,43.62952756,-0.392555118,0.090551181,0.475590551,4.362952756
North West,Blackpool,,Mixed,24,24,10,4,x,1096.5,2.824,45.6875,0.117666667,x,0.416666667,4.56875
North West,Blackpool,,Asian,19,16,12,6,4,1004.5,12.733,52.86842105,0.670157895,0.210526316,0.631578947,5.286842105
North West,Blackpool,,Black,9,7,4,3,x,383,0.069,42.55555556,0.007666667,x,0.444444444,4.255555556
North West,Blackpool,,Chinese,5,4,5,x,x,298,5.249,59.6,1.0498,x,1,5.96
North West,Blackpool,,,1331,1286,636,246,124,58328.5,-484.177,43.82306536,-0.363769346,0.093163035,0.477836213,4.382306536
North West,Blackpool,Female,White,646,625,323,147,72,28887.5,-207.221,44.71749226,-0.320775542,0.111455108,0.5,4.471749226
North West,Blackpool,Female,Mixed,12,12,6,x,x,606.5,6.007,50.54166667,0.500583333,x,0.5,5.054166667
North West,Blackpool,Female,Asian,x,x,x,x,x,x,x,x,x,x,x,x
North West,Blackpool,Female,Black,5,4,x,x,x,177,-0.603,35.4,-0.1206,x,x,3.54
North West,Blackpool,Female,Chinese,x,4,x,x,x,x,5.249,x,x,x,x,x
North West,Blackpool,Female,,674,652,341,157,78,30355.5,-189.692,45.03783383,-0.281442136,0.115727003,0.505934718,4.503783383
North West,Blackpool,Male,White,624,608,281,85,43,26522,-291.324,42.50320513,-0.466865385,0.068910256,0.450320513,4.250320513
North West,Blackpool,Male,Mixed,12,12,4,x,x,490,-3.183,40.83333333,-0.26525,x,0.333333333,4.083333333
North West,Blackpool,Male,Asian,x,x,x,x,x,x,x,x,x,x,x,x
North West,Blackpool,Male,Black,4,3,x,x,x,206,0.672,51.5,0.168,x,x,5.15
North West,Blackpool,Male,Chinese,x,0,x,x,x,x,0,x,x,x,x,x
North West,Blackpool,Male,,657,634,295,89,46,27973,-294.485,42.57686454,-0.448226788,0.070015221,0.449010654,4.257686454
North West,Cheshire East,,White,3509,3433,2371,1357,933,181603,-524.067,51.75349102,-0.149349387,0.265887717,0.67569108,5.175349102
North West,Cheshire East,,Mixed,93,88,61,33,25,4693.5,-27.005,50.46774194,-0.290376344,0.268817204,0.655913978,5.046774194
North West,Cheshire East,,Asian,62,49,41,24,13,3187.5,15.503,51.41129032,0.250048387,0.209677419,0.661290323,5.141129032
North West,Cheshire East,,Black,13,12,8,x,x,626,-2.623,48.15384615,-0.201769231,x,0.615384615,4.815384615
North West,Cheshire East,,Chinese,15,13,11,9,8,905,4.302,60.33333333,0.2868,0.533333333,0.733333333,6.033333333
North West,Cheshire East,,,3740,3637,2525,1441,994,193531.25,-540.118,51.74632353,-0.144416578,0.265775401,0.67513369,5.174632353
North West,Cheshire East,Female,White,1771,1734,1291,836,599,95550,-42.037,53.95256917,-0.023736307,0.33822699,0.728966685,5.395256917
North West,Cheshire East,Female,Mixed,45,42,34,24,19,2444.5,-7.286,54.32222222,-0.161911111,0.422222222,0.755555556,5.432222222
North West,Cheshire East,Female,Asian,36,31,22,15,7,1855,18.595,51.52777778,0.516527778,0.194444444,0.611111111,5.152777778
North West,Cheshire East,Female,Black,5,4,x,x,x,246,-1.213,49.2,-0.2426,x,x,4.92
North West,Cheshire East,Female,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Cheshire East,Female,,1889,1839,1374,889,637,101906.5,-30.48,53.94732663,-0.016135521,0.337215458,0.727368978,5.394732663
North West,Cheshire East,Male,White,1738,1699,1080,521,334,86053,-482.03,49.51265823,-0.277347526,0.192174914,0.621403913,4.951265823
North West,Cheshire East,Male,Mixed,48,46,27,9,6,2249,-19.719,46.85416667,-0.4108125,0.125,0.5625,4.685416667
North West,Cheshire East,Male,Asian,26,18,19,9,6,1332.5,-3.092,51.25,-0.118923077,0.230769231,0.730769231,5.125
North West,Cheshire East,Male,Black,8,8,x,x,x,380,-1.41,47.5,-0.17625,x,x,4.75
North West,Cheshire East,Male,Chinese,x,x,x,x,x,x,x,x,x,x,x,x
North West,Cheshire East,Male,,1851,1798,1151,552,357,91624.75,-509.638,49.50013506,-0.275331172,0.19286872,0.62182604,4.950013506
North West,Cheshire West and Chester,,White,3283,3149,2145,1548,991,168298,107.197,51.26347853,0.032652147,0.301858057,0.653365824,5.126347853
North West,Cheshire West and Chester,,Mixed,72,63,51,36,23,3685.75,11.413,51.19097222,0.158513889,0.319444444,0.708333333,5.119097222
North West,Cheshire West and Chester,,Asian,37,27,28,14,11,2122,17.775,57.35135135,0.480405405,0.297297297,0.756756757,5.735135135
North West,Cheshire West and Chester,,Black,12,10,6,5,x,516,-0.165,43,-0.01375,x,0.5,4.3
North West,Cheshire West and Chester,,Chinese,8,8,x,5,5,473.5,3.413,59.1875,0.426625,0.625,x,5.91875
North West,Cheshire West and Chester,,,3443,3285,2256,1621,1038,176454.75,123.244,51.25029044,0.035795527,0.301481266,0.655242521,5.125029044
North West,Cheshire West and Chester,Female,White,1619,1555,1123,845,573,87026.5,338.989,53.75324274,0.209381717,0.353922174,0.693638048,5.375324274
North West,Cheshire West and Chester,Female,Mixed,34,32,26,19,14,1948,11.572,57.29411765,0.340352941,0.411764706,0.764705882,5.729411765
North West,Cheshire West and Chester,Female,Asian,19,12,16,8,7,1129,10.579,59.42105263,0.556789474,0.368421053,0.842105263,5.942105263
North West,Cheshire West and Chester,Female,Black,5,4,x,x,x,214,0.422,42.8,0.0844,x,x,4.28
North West,Cheshire West and Chester,Female,Chinese,5,5,5,x,x,327,4.552,65.4,0.9104,x,1,6.54
North West,Cheshire West and Chester,Female,,1699,1623,1181,886,604,91452.5,367.781,53.82725132,0.216469099,0.355503237,0.695114773,5.382725132
North West,Cheshire West and Chester,Male,White,1664,1594,1022,703,418,81271.5,-231.792,48.84104567,-0.139298077,0.251201923,0.614182692,4.884104567
North West,Cheshire West and Chester,Male,Mixed,38,31,25,17,9,1737.75,-0.159,45.73026316,-0.004184211,0.236842105,0.657894737,4.573026316
North West,Cheshire West and Chester,Male,Asian,18,15,12,6,4,993,7.196,55.16666667,0.399777778,0.222222222,0.666666667,5.516666667
North West,Cheshire West and Chester,Male,Black,7,6,x,x,x,302,-0.587,43.14285714,-0.083857143,x,x,4.314285714
North West,Cheshire West and Chester,Male,Chinese,3,3,x,x,x,146.5,-1.139,48.83333333,-0.379666667,x,x,4.883333333
North West,Cheshire West and Chester,Male,,1744,1662,1075,735,434,85002.25,-244.537,48.73982225,-0.14021617,0.248853211,0.616399083,4.873982225
North West,Cumbria,,White,4987,4873,3148,1819,1105,243933,-1127.554,48.91377582,-0.226098657,0.221576098,0.631241227,4.891377582
North West,Cumbria,,Mixed,53,44,44,23,20,2968,4.728,56,0.089207547,0.377358491,0.830188679,5.6
North West,Cumbria,,Asian,31,23,20,12,10,1662.5,11.839,53.62903226,0.381903226,0.322580645,0.64516129,5.362903226
North West,Cumbria,,Black,13,7,6,6,3,621.5,-3.362,47.80769231,-0.258615385,0.230769231,0.461538462,4.780769231
North West,Cumbria,,Chinese,9,8,x,6,5,585,0.873,65,0.097,0.555555556,x,6.5
North West,Cumbria,,,5134,4990,3251,1879,1151,251615,-1129.701,49.00954422,-0.220043046,0.224191663,0.633229451,4.900954422
North West,Cumbria,Female,White,2438,2377,1668,1007,686,126174.5,-134.848,51.75328138,-0.055310911,0.281378179,0.68416735,5.175328138
North West,Cumbria,Female,Mixed,31,26,25,16,15,1752,1.23,56.51612903,0.039677419,0.483870968,0.806451613,5.651612903
North West,Cumbria,Female,Asian,17,11,11,8,7,904.5,7.711,53.20588235,0.453588235,0.411764706,0.647058824,5.320588235
North West,Cumbria,Female,Black,5,3,x,x,x,279,-0.145,55.8,-0.029,x,x,5.58
North West,Cumbria,Female,Chinese,6,5,x,3,x,383,0.888,63.83333333,0.148,x,x,6.383333333
North West,Cumbria,Female,,2520,2443,1727,1047,717,130607,-132.017,51.8281746,-0.052387698,0.28452381,0.68531746,5.18281746
North West,Cumbria,Male,White,2549,2496,1480,812,419,117758.5,-992.706,46.19792075,-0.389449196,0.164378188,0.580619851,4.619792075
