REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
South West,Dorset,Asian,37,23,37,27,37,29,37,28,37,18,0.621621622,0.72972973,0.783783784,0.756756757,0.486486486
South West,Dorset,Black,6,x,6,x,6,3,6,x,6,3,x,x,0.5,x,0.5
South West,Dorset,Chinese,6,x,6,6,6,6,6,6,6,x,x,1,1,1,x
South West,Poole,,1320,880,1320,991,1320,905,1320,962,1320,710,0.666666667,0.750757576,0.685606061,0.728787879,0.537878788
South West,Poole,White,1219,809,1219,913,1219,834,1219,887,1219,655,0.663658737,0.748974569,0.68416735,0.727645611,0.537325677
South West,Poole,Mixed,45,32,45,34,45,27,45,32,45,23,0.711111111,0.755555556,0.6,0.711111111,0.511111111
South West,Poole,Asian,28,21,28,23,28,25,28,24,28,19,0.75,0.821428571,0.892857143,0.857142857,0.678571429
South West,Poole,Black,4,x,4,x,4,x,4,x,4,x,x,x,x,x,x
South West,Poole,Chinese,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
South West,Bournemouth,,1554,1015,1554,1172,1554,1097,1554,1161,1554,843,0.653153153,0.754182754,0.705920206,0.747104247,0.542471042
South West,Bournemouth,White,1376,902,1376,1038,1376,972,1376,1022,1376,741,0.655523256,0.754360465,0.706395349,0.742732558,0.538517442
South West,Bournemouth,Mixed,84,53,84,65,84,55,84,66,84,46,0.630952381,0.773809524,0.654761905,0.785714286,0.547619048
South West,Bournemouth,Asian,41,26,41,30,41,30,41,35,41,24,0.634146341,0.731707317,0.731707317,0.853658537,0.585365854
South West,Bournemouth,Black,14,9,14,x,14,11,14,x,14,7,0.642857143,x,0.785714286,x,0.5
South West,Bournemouth,Chinese,5,x,5,x,5,x,5,x,5,x,x,x,x,x,x
South West,Wiltshire,,4934,3362,4933,3661,4934,3308,4934,3480,4933,2642,0.681394406,0.74214474,0.670449939,0.705310093,0.535576728
South West,Wiltshire,White,4587,3136,4586,3392,4587,3076,4587,3227,4586,2459,0.683671245,0.73964239,0.6705908,0.703509919,0.536197122
South West,Wiltshire,Mixed,148,110,148,117,148,97,148,107,148,81,0.743243243,0.790540541,0.655405405,0.722972973,0.547297297
South West,Wiltshire,Asian,64,39,64,49,64,44,64,51,64,32,0.609375,0.765625,0.6875,0.796875,0.5
South West,Wiltshire,Black,49,21,49,31,49,24,49,30,49,19,0.428571429,0.632653061,0.489795918,0.612244898,0.387755102
South West,Wiltshire,Chinese,12,8,12,x,12,12,12,x,12,8,0.666666667,x,1,x,0.666666667
South West,Swindon,,2536,1691,2535,1509,2536,1773,2536,1843,2535,1164,0.666798107,0.595266272,0.699132492,0.726735016,0.459171598
South West,Swindon,White,2043,1376,2042,1209,2043,1404,2043,1456,2042,941,0.673519334,0.592066601,0.68722467,0.712677435,0.460822723
South West,Swindon,Mixed,135,86,135,85,135,91,135,103,135,60,0.637037037,0.62962963,0.674074074,0.762962963,0.444444444
South West,Swindon,Asian,247,152,247,148,247,199,247,195,247,119,0.615384615,0.599190283,0.805668016,0.789473684,0.481781377
South West,Swindon,Black,69,52,69,46,69,52,69,60,69,30,0.753623188,0.666666667,0.753623188,0.869565217,0.434782609
South West,Swindon,Chinese,5,x,5,x,5,x,5,x,5,x,x,x,x,x,x
South West,Devon,,7472,5312,7471,5252,7472,5189,7472,5324,7471,4036,0.710920771,0.702984875,0.694459315,0.712526767,0.540222192
South West,Devon,White,7114,5058,7113,4990,7114,4930,7114,5052,7113,3835,0.710992409,0.701532405,0.692999719,0.710149002,0.539153662
South West,Devon,Mixed,181,140,181,142,181,131,181,141,181,113,0.773480663,0.784530387,0.723756906,0.779005525,0.624309392
South West,Devon,Asian,41,30,41,33,41,30,41,33,41,25,0.731707317,0.804878049,0.731707317,0.804878049,0.609756098
South West,Devon,Black,18,9,18,9,18,11,18,11,18,6,0.5,0.5,0.611111111,0.611111111,0.333333333
South West,Devon,Chinese,9,5,9,5,9,x,9,x,9,5,0.555555556,0.555555556,x,x,0.555555556
South West,Plymouth,,2667,1774,2665,1948,2667,1843,2667,1908,2665,1438,0.665166854,0.730956848,0.69103862,0.715410574,0.539587242
South West,Plymouth,White,2476,1650,2475,1806,2476,1710,2476,1768,2475,1337,0.666397415,0.72969697,0.690630048,0.714054927,0.54020202
South West,Plymouth,Mixed,84,64,84,69,84,62,84,65,84,50,0.761904762,0.821428571,0.738095238,0.773809524,0.595238095
South West,Plymouth,Asian,24,12,24,19,24,17,24,19,24,11,0.5,0.791666667,0.708333333,0.791666667,0.458333333
South West,Plymouth,Black,15,12,15,11,15,12,15,12,15,9,0.8,0.733333333,0.8,0.8,0.6
South West,Plymouth,Chinese,6,x,6,6,6,6,6,6,6,x,x,1,1,1,x
South West,Torbay,,1388,949,1387,940,1388,952,1388,994,1387,708,0.683717579,0.677721702,0.685878963,0.716138329,0.510454218
South West,Torbay,White,1308,892,1307,881,1308,890,1308,934,1307,660,0.681957187,0.674062739,0.680428135,0.714067278,0.504973221
South West,Torbay,Mixed,43,33,43,32,43,31,43,32,43,27,0.76744186,0.744186047,0.720930233,0.744186047,0.627906977
South West,Torbay,Asian,12,6,12,8,12,x,12,x,12,5,0.5,0.666666667,x,x,0.416666667
South West,Torbay,Black,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
South West,Torbay,Chinese,7,x,7,x,7,7,7,x,7,x,x,x,1,x,x
South West,Cornwall,,5531,3678,5531,4031,5531,3620,5531,3763,5531,2836,0.664979208,0.728801302,0.654492858,0.680347134,0.512746339
South West,Cornwall,White,5295,3527,5295,3866,5295,3468,5295,3605,5295,2723,0.666100094,0.730122757,0.654957507,0.680830973,0.514258735
South West,Cornwall,Mixed,132,92,132,92,132,85,132,92,132,68,0.696969697,0.696969697,0.643939394,0.696969697,0.515151515
South West,Cornwall,Asian,14,8,14,10,14,9,14,9,14,5,0.571428571,0.714285714,0.642857143,0.642857143,0.357142857
South West,Cornwall,Black,7,4,7,7,7,4,7,x,7,3,0.571428571,1,0.571428571,x,0.428571429
South West,Cornwall,Chinese,9,x,9,x,9,9,9,x,9,x,x,x,1,x,x
South West,Gloucestershire,,6107,4273,6105,4264,6107,4278,6107,4463,6105,3295,0.699688882,0.698443898,0.700507614,0.73080072,0.53972154
South West,Gloucestershire,White,5462,3826,5460,3789,5462,3829,5462,3944,5460,2945,0.700476016,0.693956044,0.701025265,0.722079824,0.539377289
South West,Gloucestershire,Mixed,306,223,306,236,306,209,306,245,306,166,0.72875817,0.77124183,0.683006536,0.800653595,0.54248366
South West,Gloucestershire,Asian,166,114,166,122,166,131,166,140,166,101,0.686746988,0.734939759,0.789156627,0.843373494,0.608433735
South West,Gloucestershire,Black,79,45,79,53,79,47,79,62,79,33,0.569620253,0.670886076,0.594936709,0.784810127,0.417721519
South West,Gloucestershire,Chinese,17,12,17,12,17,x,17,14,17,11,0.705882353,0.705882353,x,0.823529412,0.647058824
South West,Somerset,,5481,3666,5481,4052,5481,3724,5481,3896,5481,2877,0.668856048,0.739281153,0.679438059,0.710819194,0.524904215
South West,Somerset,White,5255,3496,5255,3873,5255,3561,5255,3714,5255,2740,0.66527117,0.737012369,0.677640343,0.706755471,0.521408183
South West,Somerset,Mixed,129,103,129,108,129,95,129,106,129,81,0.798449612,0.837209302,0.736434109,0.821705426,0.627906977
South West,Somerset,Asian,46,34,46,37,46,35,46,40,46,29,0.739130435,0.804347826,0.760869565,0.869565217,0.630434783
South West,Somerset,Black,12,7,12,9,12,7,12,8,12,6,0.583333333,0.75,0.583333333,0.666666667,0.5
South West,Somerset,Chinese,5,x,5,x,5,x,5,x,5,x,x,x,x,x,x
