REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
South East,Portsmouth,,2007,1254,2007,1464,2007,1289,2007,1395,2007,966,0.624813154,0.729446936,0.642252118,0.695067265,0.481315396
South East,Portsmouth,White,1669,1037,1669,1211,1669,1058,1669,1136,1669,795,0.621330138,0.725584182,0.633912522,0.680647094,0.476333134
South East,Portsmouth,Mixed,96,63,96,72,96,56,96,70,96,43,0.65625,0.75,0.583333333,0.729166667,0.447916667
South East,Portsmouth,Asian,125,89,125,108,125,100,125,108,125,80,0.712,0.864,0.8,0.864,0.64
South East,Portsmouth,Black,64,38,64,42,64,35,64,46,64,29,0.59375,0.65625,0.546875,0.71875,0.453125
South East,Portsmouth,Chinese,6,x,6,x,6,6,6,x,6,x,x,x,1,x,x
South East,Southampton,,2304,1523,2300,1764,2304,1639,2304,1656,2300,1251,0.661024306,0.766956522,0.711371528,0.71875,0.543913043
South East,Southampton,White,1770,1172,1770,1328,1770,1242,1770,1242,1770,943,0.662146893,0.750282486,0.701694915,0.701694915,0.532768362
South East,Southampton,Mixed,146,106,146,114,146,108,146,112,146,89,0.726027397,0.780821918,0.739726027,0.767123288,0.609589041
South East,Southampton,Asian,271,164,270,223,271,196,271,205,270,145,0.605166052,0.825925926,0.723247232,0.756457565,0.537037037
South East,Southampton,Black,63,48,63,58,63,52,63,58,63,45,0.761904762,0.920634921,0.825396825,0.920634921,0.714285714
South East,Southampton,Chinese,12,9,12,9,12,x,12,x,12,8,0.75,0.75,x,x,0.666666667
South East,Bracknell Forest,,1311,858,1311,987,1311,861,1311,833,1311,682,0.654462243,0.752860412,0.656750572,0.63539283,0.520213577
South East,Bracknell Forest,White,1109,720,1109,820,1109,720,1109,682,1109,564,0.649233544,0.739404869,0.649233544,0.61496844,0.508566276
