Region,Owners,Social sector,Private renters
North East,60.8,23.0,16.2
North West,64.7,18.1,17.1
Yorkshire and the Humber,62.6,18.2,19.2
East Midlands,66.6,15.9,17.5
West Midlands,65.8,18.6,15.6
East,67.1,15.7,17.3
London,49.5,23.3,27.2
South East,68.1,13.1,18.8
South West,69.1,13.1,17.8
Does not apply,.0,.0,.0
No answer,.0,.0,.0
Total,63.6,17.4,19.0
