Nationality,Owners,Social sector,Private renters
EU exc ROI and EFTA,24.3,13.2,62.5
UK and ROI,66.5,17.4,16.1
Rest of World,34.7,19.5,45.8
Total,63.6,17.3,19.0
,,,
,,,
,,,
,,,
,,,
,,,
