Age bracket,Owners,Social sector,Private renters
 16 - 29,21.0,19.0,60.0
 30 - 44,54.2,17.2,28.6
 45 - 64,71.8,16.9,11.3
 65 or over,76.7,17.6,5.7
Total,63.6,17.4,19.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
