Income bracket,Owners,Social sector,Private renters
1st quintile (lowest),47.2,30.0,22.8
2nd quintile,50.1,29.3,20.6
3rd quintile,61.6,17.7,20.6
4th quintile,73.4,8.2,18.4
5th quintile (highest),84.9,2.3,12.8
Total,63.6,17.4,19.0
,,,
,,,
,,,
,,,
