,Race,Owners,Social sector,Private renters
Race groups into nine categories,White British,67.68,16.56,15.76
,White Other,35.26,17.33,47.41
,Black,29.22,44.49,26.30
,Indian,75.26,4.72,20.03
,Pakistani or Bangladeshi,59.86,20.47,19.67
,Other Asian,48.30,13.84,37.87
,Chinese,39.28,11.22,49.50
,Mixed,35.24,25.40,39.36
,Other,29.44,24.05,46.51
,Total,63.61,17.37,19.01
